NFLID,Height,Weight,DOB,College
00-0032156,Trevor Siemian,220,12/26/1991,Northwestern
00-0032157,Taurean Nixon,187,2/7/1991,Tulane
00-0032154,Michael Bennett,287,2/24/1993,Ohio State
00-0032155,Laurence Gibson,300,3/19/1991,Virginia Tech
00-0032152,Karlos Williams,230,5/4/1993,Florida State
00-0032153,Max Valles,250,8/5/1994,Virginia
00-0032150,Steven Nelson,194,1/22/1993,Oregon State
00-0032151,Jon Feliciano,325,2/10/1992,Miami (Fla.)
00-0007835,Damon Huard,218,7/9/1973,Washington
00-0021684,Colin Cole,325,6/24/1980,Iowa
00-0024565,Quinton Culberson,236,10/21/1985,Mississippi State
00-0024566,Stanley Daniels,320,11/30/1984,Washington
00-0024561,Marcus Mason,226,6/23/1984,Youngstown State
00-0032950,Carson Wentz,237,12/30/1992,North Dakota State
00-0010072,Ryan Longwell,200,8/16/1974,California
00-0013255,Pierson Prioleau,188,8/6/1977,Virginia Tech
00-0022805,Randy Starks,305,12/14/1983,Maryland
00-0022804,Nick Hardwick,305,9/2/1981,Purdue
00-0022807,Bernard Berrian,185,12/27/1980,Fresno State
00-0022806,Tim Anderson,315,11/22/1980,Ohio State
00-0022803,Eli Manning,220,1/3/1981,Mississippi
00-0022808,Stephen Peterman,323,1/11/1982,LSU
00-0030781,Trey Hopkins,310,7/6/1992,Texas
00-0030780,Ryan Hewitt,255,1/24/1991,Stanford
00-0030783,Colin Lockett,188,4/5/1991,San Diego State
00-0030782,Isaiah Lewis,211,10/30/1991,Michigan State
00-0030785,Nikita Whitlock,250,5/16/1991,Wake Forest
00-0024158,Jason Davis,242,11/2/1983,Illinois
00-0030787,Derrick Hopkins,321,12/16/1991,Virginia Tech
00-0030786,James Jr. Wilder,232,4/14/1992,Florida State
00-0030789,Antonio Andrews,225,8/17/1992,Western Kentucky
00-0024154,Willie Evans,269,3/5/1984,Mississippi State
00-0024157,Torrance Daniels,248,12/27/1981,Harding
00-0024156,Nick Cole,339,7/28/1984,New Mexico State
00-0028037,K.J. Wright,246,7/23/1989,Mississippi State
00-0019641,Thomas Jones,212,8/19/1978,Virginia
00-0019640,Chris Samuels,314,7/28/1977,Alabama
00-0019642,Plaxico Burress,232,8/12/1977,Michigan State
00-0019645,Deltha O'Neal,194,1/30/1977,California
00-0019646,Sebastian Janikowski,265,3/2/1978,Florida State
00-0019648,Keith Bulluck,235,4/4/1977,Syracuse
00-0027082,Vaughn Martin,300,4/18/1986,Western Ontario (Canada)
00-0027083,David Bruton,225,7/23/1987,Notre Dame
00-0004915,Bobby Engram,192,1/7/1973,Penn State
00-0027080,Mike Goodson,210,5/23/1987,Texas A&M
00-0028739,Kendric Burney,190,2/14/1988,North Carolina
00-0028738,Byron Bell,320,1/17/1989,New Mexico
00-0020422,Chris Cooper,285,2/27/1977,Nebraska-Omaha
00-0028735,Aaron Nichols,185,3/20/1988,Oregon State
00-0028734,Frank Warren,195,4/18/1989,Grambling State
00-0028736,William Powell,207,3/9/1988,Kansas State
00-0028731,D.J. Young,298,1/26/1988,Michigan State
00-0029062,Frank Trotter,275,1/17/1990,Memphis
00-0032475,Tanner McEvoy,230,1/26/1993,Wisconsin
00-0029060,J.K. Schaffer,232,6/10/1990,Cincinnati
00-0029061,Julian Stanford,230,9/2/1990,Wagner
00-0029066,Trevor Robinson,300,5/16/1990,Notre Dame
00-0029067,Chase Baker,300,5/21/1988,Boise State
00-0029065,Johnson Bademosi,206,7/23/1990,Stanford
00-0029068,Derrick Coleman,233,10/18/1990,UCLA
00-0027085,Chip Vaughn,221,10/26/1985,Wake Forest
00-0027923,Rod Windsor,205,4/24/1985,Western New Mexico
00-0027925,James Develin,255,7/23/1988,Brown
00-0027432,Chris Campbell,327,9/22/1986,Eastern Illinois
00-0025570,Kasey Studdard,304,7/1/1984,Texas
00-0025571,John Wendling,222,6/4/1983,Wyoming
00-0025572,Trey Lewis,312,5/23/1985,Washburn
00-0025573,Thomas Clayton,222,4/26/1984,Kansas State
00-0025574,Matt Toeaina,308,10/9/1984,Oregon
00-0025576,Adam Koets,300,1/7/1984,Oregon State
00-0025578,Korey Hall,236,8/5/1983,Boise State
00-0025579,Desmond Bishop,244,7/24/1984,California
00-0032978,Trey Caldwell,185,12/4/1993,Louisiana-Monroe
00-0032979,Scooby Wright,240,8/29/1994,Arizona
00-0029604,Kirk Cousins,202,8/19/1988,Michigan State
00-0029605,Isaiah Green,180,8/10/1989,Fresno State
00-0029602,Gino Crump,210,8/8/1988,Arizona
00-0029600,Andre Branch,263,7/14/1989,Clemson
00-0029601,Brandon Bostick,250,5/3/1989,Newberry
00-0032970,Jordan Jenkins,259,7/1/1994,Georgia
00-0032971,Justin Simmons,202,11/19/1993,Boston College
00-0032972,Devontae Booker,219,5/27/1992,Utah
00-0032973,Zack Sanchez,185,10/11/1993,Oklahoma
00-0032974,Jordan Payton,209,9/1/1993,UCLA
00-0032975,Jonathan Williams,223,2/2/1994,Arkansas
00-0032976,Spencer Drango,315,10/15/1992,Baylor
00-0032977,Rashard Higgins,198,10/7/1994,Colorado State
00-0031959,Marcus Murphy,195,10/3/1991,Missouri
00-0031958,Austin Reiter,300,11/27/1991,South Florida
00-0031957,Rakeem Nunez-Roches,307,7/3/1993,Southern Mississippi
00-0031956,Anthony Chickillo,255,12/10/1992,Miami (Fla.)
00-0031955,Charles Gaines,180,10/3/1992,Louisville
00-0031954,Evan Spencer,208,5/26/1993,Ohio State
00-0031953,Geremy Davis,211,1/10/1992,Connecticut
00-0031952,Kyshoen Jarrett,200,5/4/1993,Virginia Tech
00-0031951,James O'Shaughnessy,245,1/14/1992,Illinois State
00-0031950,D.J. Alexander,233,9/30/1991,Oregon State
00-0029046,Ryan Steed,185,7/21/1990,Furman
00-0029343,LaRon Byrd,225,8/18/1989,Miami (Fla.)
00-0022247,Mike Adams,205,3/24/1981,Delaware
00-0022245,Tyson Clabo,315,10/17/1981,Wake Forest
00-0026001,Titus Brown,250,3/27/1986,Mississippi State
00-0026000,Davone Bess,195,9/13/1985,Hawaii
00-0026003,Dan Carpenter,228,11/25/1985,Montana
00-0026004,Jayson Foster,175,7/22/1985,Georgia Southern
00-0026008,Matthew Mulligan,267,1/18/1985,Maine
00-0024714,Edgar Jones,256,12/1/1984,Southeast Missouri State
00-0023503,Courtney Roby,189,1/10/1983,Indiana
00-0023502,Charlie Frye,220,8/28/1981,Akron
00-0029040,Damon Harrison,341,11/29/1988,William Penn
00-0023501,Oshiomogho Atogwe,205,6/23/1981,Stanford
00-0033143,Kendal Thompson,196,5/14/1992,Utah
00-0033140,Darnell Sankey,250,10/11/1994,Sacramento State
00-0023500,Frank Gore,212,5/14/1983,Miami (Fla.)
00-0033146,David Watford,212,6/16/1993,Hampton
00-0033147,Darron Lee,232,10/18/1994,Ohio State
00-0033148,Harvey Binford,185,1/20/1991,Lindenwood
00-0033149,Nick Truesdell,252,3/14/1990,Grand Rapids CC MI
00-0023506,Alex Smith,250,5/22/1982,Stanford
00-0023505,Channing Crowder,250,12/2/1983,Florida
00-0023504,Andrew Walter,230,5/11/1982,Arizona State
00-0033494,Keith Kelsey,233,3/17/1995,Louisville
00-0033495,Chanceller James,208,9/26/1994,Boise State
00-0033496,B.J. Johnson,214,2/22/1993,Georgia Southern
00-0033497,Richard Levy,315,9/12/1992,Connecticut
00-0033490,Ben Braden,329,3/9/1994,Michigan
00-0033492,Aarion Penton,187,9/3/1994,Missouri
00-0033493,Francis Kallon,295,2/2/1994,Georgia Tech
00-0033498,Chase Dominguez,240,7/9/1994,Utah
00-0032713,Kevin Anderson,244,4/5/1993,Stanford
00-0032718,Jason Fanaika,270,6/17/1992,Utah
00-0032341,Moritz Boehringer,225,10/16/1993,Unknown
00-0032719,Lenny Jones,265,8/8/1991,Nevada
00-0020873,Bart Scott,242,8/18/1980,Southern Illinois
00-0027068,Tyrone McKenzie,245,12/11/1985,South Florida
00-0027069,Chase Coffman,250,11/10/1986,Missouri
00-0027060,Lardarius Webb,185,10/12/1985,Nicholls State
00-0027061,Jared Cook,254,4/7/1987,South Carolina
00-0027062,Chris Owens,180,12/1/1986,San Jose State
00-0027063,Deon Butler,182,1/4/1986,Penn State
00-0027064,Jerraud Powers,193,7/19/1987,Auburn
00-0027065,Corvey Irvin,295,5/3/1985,Georgia
00-0027066,Ryan Mouton,184,9/23/1986,Hawaii
00-0027067,Rashad Johnson,204,1/2/1986,Alabama
00-0031315,Matt Hazel,195,1/23/1992,Coastal Carolina
00-0031314,Wesley Johnson,297,1/9/1991,Vanderbilt
00-0031317,Terrence Fede,267,11/19/1991,Marist
00-0031316,Jordan Zumwalt,235,10/13/1991,UCLA
00-0031311,Cyril Richardson,329,12/27/1990,Baylor
00-0023832,Spencer Havner,250,2/2/1983,UCLA
00-0031313,Jordan Tripp,234,4/3/1991,Montana
00-0031312,Ed Reynolds,207,10/18/1991,Stanford
00-0023529,Adam Snyder,325,1/30/1982,Oregon
00-0023528,Trai Essex,324,12/5/1982,Northwestern
00-0031318,Sam Longo,305,7/31/1991,Cincinnati
00-0023838,Matt Baker,217,5/11/1983,North Carolina
00-0032365,DeMarcus Ayers,190,7/7/1994,Houston
00-0032366,Tyler Matakevich,235,12/22/1992,Temple
00-0032361,Curt Maggitt,250,2/4/1993,Tennessee
00-0032362,Maurice Harris,200,11/11/1992,California
00-0032369,Anthony Lanier,286,5/8/1993,Alabama A&M
00-0030570,Robby Toma,185,2/23/1991,Notre Dame
00-0009889,Ray Lewis,240,5/15/1975,Miami (Fla.)
00-0026823,Alex Field,270,12/23/1986,Virginia
00-0026822,Maurice Evans,265,8/14/1988,Penn State
00-0030048,Cornelius Washington,292,9/10/1989,Georgia
00-0030049,Chris Gragg,244,6/30/1990,Arkansas
00-0026826,Eric Kettani,240,3/26/1987,Navy
00-0026824,Bruce Johnson,182,12/18/1987,Miami (Fla.)
00-0030043,Da'Rick Rogers,215,6/18/1991,Tennessee Tech
00-0030040,Brandon Kaufman,215,10/26/1990,Eastern Washington
00-0030041,Nickell Robey-Coleman,178,1/17/1992,USC
00-0030046,Jordan Mills,316,12/24/1990,Louisiana Tech
00-0030047,Marquess Wilson,206,9/14/1992,Washington State
00-0030044,Drew Smith,225,4/12/1990,Albany
00-0030045,D.J. Harper,211,9/21/1989,Boise State
00-0028078,Gabe Miller,250,12/5/1987,Oregon State
00-0028079,D.J. Williams,245,9/10/1988,Arkansas
00-0022019,Dan Koppen,300,9/12/1979,Boston College
00-0028072,Robert Sands,215,11/3/1989,West Virginia
00-0028073,Ricky Stanzi,228,9/3/1987,Iowa
00-0028070,Kealoha Pilares,200,2/20/1988,Hawaii
00-0028071,Johnny White,202,2/3/1988,North Carolina
00-0028076,Marcus Cannon,335,5/6/1988,Texas Christian
00-0028077,Brandon Burton,185,7/31/1989,Utah
00-0028074,Anthony Sherman,242,12/11/1988,Connecticut
00-0028075,Buster Skrine,185,4/26/1989,Tennessee-Chattanooga
00-0033968,Stacy Coley,195,5/13/1994,Miami (Fla.)
00-0033969,Ifeadi Odenigbo,258,4/8/1994,Northwestern
00-0026928,Morgan Trent,187,12/14/1985,Michigan
00-0026929,Andrew Gardner,308,4/4/1986,Georgia Tech
00-0033964,Al-Quadin Muhammad,250,3/28/1995,Miami (Fla.)
00-0033965,Adam Bisnowaty,310,12/14/1993,Pittsburgh
00-0026924,Herman Johnson,360,1/29/1985,LSU
00-0033967,Sam Rogers,235,4/12/1995,Virginia Tech
00-0033960,Danny Isidora,306,6/5/1994,Miami (Fla.)
00-0033961,Dylan Donahue,248,8/20/1992,West Georgia
00-0033962,Caleb Brantley,307,9/2/1994,Florida
00-0033963,Tanzel Smart,290,11/6/1994,Tulane
00-0029479,Emmanuel Lamur,245,6/8/1989,Kansas State
00-0029478,Jourdan Brooks,237,8/22/1988,Morgan State
00-0029475,Wallace Miles,191,8/1/1989,North Carolina A&T;
00-0029474,Otis Merrill,188,6/6/1988,Illinois State
00-0029470,Andrew McDonald,310,9/8/1988,Indiana
00-0029473,Curenski Gilleylen,213,3/15/1989,Nebraska
00-0030439,Mark Harrison,230,12/11/1990,Rutgers
00-0030433,Mike Gillislee,219,11/1/1990,Florida
00-0030432,Christine Michael,221,11/9/1990,Texas A&M
00-0030431,Robert Woods,193,4/10/1992,USC
00-0030437,Cody Larsen,300,12/31/1987,Southern Utah
00-0030436,Will Shaw,245,1/5/1991,Youngstown State
00-0030435,Jeremy Harris,185,4/26/1991,New Mexico State
00-0030434,Vince Williams,233,12/27/1989,Florida State
00-0019456,Brian Urlacher,258,5/25/1978,New Mexico
00-0019457,Anthony Becht,270,8/8/1977,West Virginia
00-0029299,Isaiah Frey,190,4/6/1990,Nevada
00-0029298,Cyrus Gray,206,11/18/1989,Texas A&M
00-0029291,Terrell Manning,237,4/16/1990,North Carolina State
00-0029290,Ryan Miller,320,7/6/1989,Colorado
00-0029293,Marvin Jones,198,3/12/1990,California
00-0029292,Darius Fleming,250,7/19/1989,Notre Dame
00-0029295,Jeremy Lane,190,7/14/1990,Northwestern State-Louisiana
00-0029294,Asa Jackson,183,12/2/1989,Cal Poly-S.L.O.
00-0029297,Trenton Robinson,195,2/16/1990,Michigan State
00-0029296,Mark Asper,321,11/8/1985,Oregon
00-0032562,Cole Wick,257,11/30/1993,Incarnate Word (Tex.)
00-0032561,Ian Wells,199,7/14/1993,Ohio U.
00-0032560,Charles Washington,192,3/16/1993,Fresno State
00-0032567,Anthony Fabiano,303,7/13/1993,Harvard
00-0032566,Trevon Coley,310,7/13/1994,Florida Atlantic
00-0032565,Jarell Broxton,333,3/27/1993,Baylor
00-0027525,Buddy Farnham,185,5/22/1987,Brown
00-0027524,Chris Brooks,210,2/5/1987,Nebraska
00-0032569,Wil Lutz,184,7/7/1994,Georgia State
00-0032568,Cavellis Luckett,245,12/6/1992,Middle Tennessee State
00-0027520,Dominique Curry,223,8/16/1987,California (PA)
00-0025749,Richard Bartel,230,2/3/1983,Tarleton State
00-0020515,Ryan Pickett,340,10/8/1979,Ohio State
00-0020514,Michael Bennett,205,8/13/1978,Wisconsin
00-0025741,Alex Buzbee,272,11/27/1985,Georgetown
00-0020516,Todd Heap,252,3/16/1980,Arizona State
00-0026218,Shawn Crable,250,12/26/1984,Michigan
00-0026219,Antwaun Molden,198,1/23/1985,Eastern Kentucky
00-0026214,Dan Connor,241,11/2/1985,Penn State
00-0026215,Reggie Smith,192,9/3/1986,Oklahoma
00-0026216,Brad Cottam,269,11/28/1984,Tennessee
00-0026217,Pat Sims,330,11/29/1985,Auburn
00-0026210,Earl Bennett,206,3/23/1987,Vanderbilt
00-0026211,Tavares Gooden,242,10/7/1984,Miami (Fla.)
00-0026212,Chris Ellis,267,2/11/1985,Virginia Tech
00-0026213,Jamaal Charles,199,12/27/1986,Texas
00-0027297,Austin Howard,330,3/22/1987,Northern Iowa
00-0027294,Zipp Duncan,310,7/15/1987,Kentucky
00-0027292,Korey Bosworth,242,11/21/1986,UCLA
00-0027290,Cassius Vaughn,195,11/3/1987,Mississippi
00-0027298,Kevin Jurovich,197,6/30/1986,San Jose State
00-0031140,Anthony Denham,235,7/21/1991,Utah
00-0031142,Matt Feiler,330,7/7/1992,Bloomsburg
00-0031145,Travis Labhart,182,1/20/1991,Texas A&M
00-0031146,Terrance Lloyd,238,9/9/1990,Baylor
00-0031147,Chris Martin,305,1/4/1990,Central Florida
00-0031148,Chris McAllister,255,3/3/1991,Baylor
00-0031149,Anthony McClung,177,9/9/1991,Cincinnati
00-0032170,Rashad Greene,186,9/23/1992,Florida State
00-0032171,Hayes Pullard,235,4/18/1992,USC
00-0032174,Deshon Foxx,177,11/27/1992,Connecticut
00-0032178,Kyle Prater,231,6/21/1992,Northwestern
00-0021484,Gary Brackett,235,5/23/1980,Rutgers
00-0032758,Vernon Hargreaves,204,6/3/1995,Florida
00-0027215,Logan Paulsen,268,2/26/1987,UCLA
00-0027214,Keiland Williams,230,8/14/1986,LSU
00-0018227,Charles Woodson,210,10/7/1976,Michigan
00-0027213,Anderson Russell,200,5/30/1987,Ohio State
00-0033779,Dee Virgin,205,10/29/1993,West Alabama
00-0033778,Malik Smith,190,8/28/1995,San Diego State
00-0033771,Rickey Hatley,320,3/29/1994,Missouri
00-0033770,Justin Hardee,200,2/7/1994,Illinois
00-0033773,Riley McCarron,185,6/16/1993,Iowa
00-0033772,Shaq Hill,191,5/12/1993,Eastern Washington
00-0033775,Dayon Pratt,240,4/23/1993,East Carolina
00-0033333,Horace Richardson,199,9/28/1993,Southern Methodist
00-0033777,Jake Simonich,305,11/24/1993,Utah State
00-0033332,Josiah Price,249,7/19/1993,Michigan State
00-0033335,Shaan Washington,220,12/29/1993,Texas A&M
00-0030231,Ja'Gared Davis,238,9/11/1990,Southern Methodist
00-0030230,Andy Cruse,216,1/13/1990,Miami (Ohio)
00-0030233,Ray Graham,193,9/18/1990,Pittsburgh
00-0030232,Evan Frierson,234,5/24/1990,Illinois State
00-0030235,Willie Jefferson,241,1/31/1991,Stephen F. Austin St.
00-0033337,Brandon Bell,230,1/9/1995,Penn State
00-0030237,Orhian Johnson,211,10/9/1989,Ohio State
00-0030236,Dennis Johnson,193,2/24/1990,Arkansas
00-0030239,Alec Lemon,207,7/1/1991,Syracuse
00-0030238,Alex Kupper,299,2/14/1990,Louisville
00-0030973,Evan Wilson,250,2/13/1992,Illinois
00-0022824,Andy Lee,185,8/11/1982,Pittsburgh
00-0022821,Michael Turner,247,2/13/1982,Northern Illinois
00-0032759,Sheldon Rankins,305,4/2/1994,Louisville
00-0030975,Alex Bayer,258,11/8/1990,Bowling Green State
00-0029710,Zach Brown,220,2/6/1989,Pittsburgh
00-0024174,Glenn Holt,193,7/31/1984,Kentucky
00-0024172,Patrick Cobbs,205,1/31/1983,North Texas
00-0024171,Wallace Wright,197,2/1/1984,North Carolina
00-0024170,Joe Kowalewski,250,11/15/1982,Syracuse
00-0030068,Marquise Goodwin,179,11/19/1990,Texas
00-0030978,Austin Franklin,189,12/6/1992,New Mexico State
00-0024178,Kevin Dockery,188,1/8/1984,Mississippi State
00-0030979,Aaron Hill,231,9/5/1990,Minnesota
00-0021206,Josh McCown,218,7/4/1979,Sam Houston State
00-0023998,Steve Gregory,200,1/8/1983,Syracuse
00-0029240,Marcus Forston,305,9/28/1989,Miami (Fla.)
00-0023991,Steve Sanders,205,12/23/1982,Bowling Green State
00-0023997,Jason Murphy,304,8/7/1982,Virginia Tech
00-0030060,Kenny Vaccaro,214,2/15/1991,Texas
00-0019666,John St. Clair,320,7/15/1977,Virginia
00-0019664,Damion McIntosh,320,3/25/1977,Kansas State
00-0028717,Desia Dunn,195,11/10/1988,Fresno State
00-0028716,Daiveun Curry-Chapman,195,5/23/1988,Northern Arizona
00-0028715,Jared Campbell,200,8/30/1989,Miami (Fla.)
00-0028242,Joe Hastings,185,5/5/1987,Washburn
00-0028713,Jake Laptad,260,7/29/1988,Kansas
00-0028246,Aaron Lavarias,250,4/27/1988,Idaho
00-0028249,Jeremy Ross,215,3/16/1988,California
00-0028719,Tommy Irvin,212,4/6/1989,Wofford
00-0028718,Derek Epperson,240,4/28/1989,Baylor
00-0029044,Donavan Robinson,250,1/19/1989,Jackson State
00-0029597,Justin Tucker,183,11/21/1989,Texas
00-0029594,Sean Spence,231,6/7/1990,Miami (Fla.)
00-0029595,Josh Kaddu,245,3/12/1990,Oregon
00-0019599,Marc Bulger,208,4/5/1977,West Virginia
00-0029041,G.J. Kinne,218,12/1/1988,Tulsa
00-0029590,Taylor Thompson,268,10/19/1989,Southern Methodist
00-0029043,D'Anton Lynn,208,10/24/1989,Penn State
00-0019596,Tom Brady,225,8/3/1977,Michigan
00-0029048,Joe Banyard,221,11/12/1988,Texas-El Paso
00-0029049,Lee Barbiasz,308,7/3/1988,Northern Colorado
00-0019593,Adalius Thomas,270,8/18/1977,Southern Mississippi
00-0029007,Adrian Hamilton,255,11/29/1987,Prairie View A&M
00-0032993,Andrew Bonnet,245,12/27/1992,North Dakota State
00-0032996,Devon Johnson,245,7/28/1993,Marshall
00-0032997,Jake McGee,252,9/19/1991,Florida
00-0032994,Jeremy Cash,230,12/9/1992,Duke
00-0032995,Keyarris Garrett,215,9/26/1992,Tulsa
00-0032998,Jared Norris,238,7/19/1993,Utah
00-0034008,Eric Nzeocha,218,4/1/1993,Wyoming
00-0034009,Alex Jenkins,270,1/15/1993,Incarnate Word (Tex.)
00-0022034,Mario Haggan,274,3/3/1980,Mississippi State
00-0028054,Casey Matthews,242,1/16/1989,Oregon
00-0028508,Joshua Nesbitt,213,4/15/1988,Georgia Tech
00-0028509,Zack Pianalto,250,5/27/1989,North Carolina
00-0034006,Jonathan Walton,234,9/20/1994,South Carolina
00-0026029,Kregg Lumpkin,228,5/15/1984,Georgia
00-0026028,Danny Lansanah,235,8/28/1985,Connecticut
00-0033052,Jaylon Smith,245,6/14/1995,Notre Dame
00-0026901,Mike Wallace,200,8/1/1986,Mississippi
00-0026022,Jake Allen,196,1/18/1985,Mississippi College
00-0033053,Sean Davis,202,10/23/1993,Maryland
00-0026027,J.J. Jansen,235,1/20/1986,Notre Dame
00-0026026,Joey Haynos,270,8/28/1984,Maryland
00-0026025,Rod Harper,209,3/26/1985,Murray State
00-0030842,Mycal Swaim,215,11/6/1990,Eastern Michigan
00-0030843,Qua Cox,185,4/28/1991,Jackson State
00-0030841,Chaz Sutton,263,9/7/1989,South Carolina
00-0030846,Seth Lobato,223,12/5/1990,Northern Colorado
00-0030844,Marcus Hall,315,//,Ohio State
00-0030845,Tyler Hoover,297,1/28/1990,Michigan State
00-0029620,Brandon Marshall,250,9/10/1989,Nevada
00-0029621,Greg Zuerlein,191,12/27/1987,Missouri Western State
00-0030596,Josh Williams,257,9/24/1990,Kansas
00-0030849,Nnamdi Obukwelu,303,4/13/1991,Harvard
00-0030590,Jonathan Cooper,308,1/19/1990,North Carolina
00-0030591,Graham Pocic,310,4/5/1990,Illinois
00-0029626,Isaiah Pead,206,12/14/1989,Cincinnati
00-0030593,Chance Warmack,323,9/14/1991,Alabama
00-0026906,Kyle Moore,263,10/25/1986,USC
00-0033058,Reggie Ragland,252,9/23/1993,Alabama
00-0026907,D.J. Moore,190,3/22/1987,Vanderbilt
00-0024773,Derrick Jones,315,11/14/1984,Grand Valley State
00-0024772,Jason Capizzi,330,6/19/1983,Indiana (PA)
00-0021270,Jermaine Phillips,230,3/27/1979,Georgia
00-0033164,Troymaine Pope,205,11/29/1993,Jacksonville State
00-0033161,Isaiah Williams,306,5/5/1993,Akron
00-0027944,Julio Jones,220,2/3/1989,Alabama
00-0033168,Zamir Carlis,275,3/14/1990,Stillman
00-0023179,Tony Curtis,251,2/11/1983,Portland State
00-0023173,John Denney,242,12/13/1978,Brigham Young
00-0023176,Josh Cribbs,192,6/9/1983,Kent State
00-0023177,Jon Condo,240,8/26/1981,Maryland
00-0027888,Toby Gerhart,235,3/28/1987,Stanford
00-0027889,Jason Worilds,262,3/3/1988,Virginia Tech
00-0027882,Patrick Robinson,191,9/7/1987,Florida State
00-0027883,Koa Misi,265,1/17/1987,Utah
00-0027880,Jahvid Best,199,1/30/1989,California
00-0027881,Jerry Hughes,254,8/13/1988,Texas Christian
00-0027886,Daryl Washington,238,10/9/1986,Texas Christian
00-0027887,Taylor Mays,225,2/7/1988,USC
00-0027884,Sergio Kindle,250,9/20/1987,Texas
00-0027885,Linval Joseph,329,10/10/1988,East Carolina
00-0031639,Merrill Noel,175,9/10/1991,Wake Forest
00-0025822,Anthony Alridge,185,11/24/1984,Houston
00-0025823,Mitch Erickson,290,5/14/1985,South Dakota State
00-0025820,Jake Long,322,5/9/1985,Michigan
00-0025821,Gary Guyton,245,11/14/1985,Georgia Tech
00-0025826,Tyler Polumbus,308,4/10/1985,Colorado
00-0025824,Garrett Hartley,195,5/16/1986,Oklahoma
00-0025825,Brett Kern,214,2/17/1986,Toledo
00-0025828,Wesley Woodyard,233,7/21/1986,Kentucky
00-0025829,Doug Legursky,323,6/9/1986,Marshall
00-0031085,Jay Prosch,255,8/21/1992,Auburn
00-0031084,Eric Pinkins,220,8/7/1991,San Diego State
00-0031087,Andre Hal,190,5/30/1992,Vanderbilt
00-0031086,Tajh Boyd,222,9/25/1990,Clemson
00-0031081,Zach Moore,275,9/5/1990,Concordia-St. Paul
00-0031080,Demetri Goodson,197,6/11/1989,Baylor
00-0031083,Andrew Jackson,254,3/16/1992,Western Kentucky
00-0031082,Tavon Rooks,300,5/10/1990,Kansas State
00-0031089,Beau Allen,327,11/14/1991,Wisconsin
00-0031088,Ted Bolser,249,10/22/1990,Indiana
00-0032695,Ross Martin,183,7/3/1993,Duke
00-0032694,Jalin Marshall,200,7/21/1995,Ohio State
00-0032697,Doug Middleton,210,9/25/1993,Appalachian State
00-0027081,Glover Quin,207,1/15/1986,New Mexico
00-0027086,Stanley Arnoux,232,9/9/1986,Wake Forest
00-0027087,Brandon Williams,250,6/21/1988,Texas Tech
00-0027084,Sammie Lee Hill,328,11/8/1986,Stillman
00-0032692,Kyle Friend,305,4/3/1994,Temple
00-0027088,Shawn Nelson,273,10/5/1985,Southern Mississippi
00-0027089,Louis Murphy,200,5/11/1987,Florida
00-0032699,Claude Pelon,300,11/27/1992,USC
00-0032698,Julien Obioha,280,7/7/1994,Texas A&M
00-0023509,Justin Tuck,265,3/29/1983,Notre Dame
00-0031339,Donte Moncrief,216,8/6/1993,Mississippi
00-0031338,Terrence Brooks,200,3/2/1992,Florida State
00-0031337,Marcus Martin,310,11/29/1993,USC
00-0031336,Kony Ealy,275,12/21/1991,Missouri
00-0031335,Cyrus Kouandjio,322,7/21/1993,Alabama
00-0031334,Jason Verrett,188,6/18/1991,Texas Christian
00-0031333,Ha Ha Clinton-Dix,208,12/21/1992,Alabama
00-0031332,Fitzgerald Toussaint,204,5/4/1990,Michigan
00-0031331,Pierre Desir,198,9/8/1990,Lindenwood
00-0031330,Morgan Moses,335,3/3/1991,Virginia
00-0032349,Marcus Leak,210,11/19/1992,Maryland
00-0032347,Darion Griswold,265,12/23/1992,Arkansas State
00-0032346,Daniel Davie,185,8/4/1993,Nebraska
00-0032345,Isiah Cage,312,8/26/1993,Wis.-Eau Claire
00-0032344,Sterling Bailey,296,9/13/1992,Georgia
00-0032343,Andrew Williamson,209,11/18/1992,Vanderbilt
00-0033226,JT Jones,245,11/12/1993,Miami (Ohio)
00-0026903,Keenan Lewis,208,5/17/1986,Oregon State
00-0032633,Reggie Gilbert,261,4/1/1993,Arizona
00-0033225,Wil Freeman,275,2/7/1994,Southern Mississippi
00-0026904,Juaquin Iglesias,205,8/22/1987,Oklahoma
00-0024322,Gabe Watson,333,9/24/1983,Michigan
00-0026905,Henry Melton,290,10/11/1986,Texas
00-0033223,Reginald Davis,185,9/14/1993,Texas Tech
00-0026845,Vince Anderson,205,12/8/1984,Webber International FL
00-0026844,Garrison Sanborn,240,7/31/1985,Florida State
00-0026841,Michael Jones,212,9/9/1986,Arizona State
00-0030069,Damontre Moore,260,9/11/1992,Texas A&M
00-0026843,Jack Simmons,246,2/21/1986,Minnesota
00-0026842,Jason Watkins,329,6/10/1985,Florida
00-0030064,Jon Bostic,245,5/5/1991,Florida
00-0030065,Larry Warford,317,6/18/1991,Kentucky
00-0030066,Brian Winters,320,7/10/1991,Kent State
00-0030067,Terron Armstead,304,7/23/1991,Arkansas-Pine Bluff
00-0026849,Herb Donaldson,221,12/13/1985,Western Illinois
00-0030061,Zach Ertz,250,11/10/1990,Stanford
00-0030062,Darius Slay,190,1/1/1991,Mississippi State
00-0030063,Johnathan Hankins,325,3/30/1992,Ohio State
00-0030524,Landry Jones,225,4/4/1989,Oklahoma
00-0028503,Brandon Hicks,228,3/22/1989,Florida
00-0028500,Reid Forrest,198,11/2/1987,Washington State
